 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-11187665.93,4540944.618,215,75
-11187248.26,4553868.173,215,44
-11188622.28,4546814.605,215,69
-11192183.83,4574008.107,216,111
-11198209.56,4556611.666,216,57
-11198222.02,4555349.902,216,46
-11160281.89,4548121.107,216,8
-11183835.32,4546831.785,216,64
-11179698.8,4575596.928,217,107
-11167892.92,4532280.059,217,128
-11182590.76,4508158.95,217,130
-11175891.22,4568204.313,218,120
-11200242.7,4556382.051,218,30
-11161553.94,4548130.826,218,12
-11172427.96,4544552.378,219,147
-11184346.05,4544797.079,219,148
-11176395.84,4568843.013,220,122
-11178765.72,4549923.328,220,50
-11171935.37,4535847.683,220,100
-11188932.41,4537602.899,220,74
-11184108.16,4531966.464,220,90
-11201620.72,4536285.897,220,125
-11202380.59,4536281.114,220,115
-11161900.81,4505655.954,220,50
-11178685.9,4505985.313,220,80
-11184339.93,4547853.935,220,151
-11192724.85,4525824.724,220,130
-11179798.87,4527112.998,220,122
-11181795.05,4551213.174,220,57
-11190811.15,4545918.16,220,76
-11190944.96,4544760.332,220,79
-11186380.41,4542481.8,222,96
-11193767.13,4521718.796,223,123
-11176051.19,4506619.653,223,88
-11183702.4,4550041.656,223,80
-11179521.13,4549932.484,224,46
-11180782.82,4551228.812,224,49
-11181816.2,4544041.734,224,70
-11181767.56,4555238.561,225,47
-11205312.63,4558704.796,225,31
-11166533.04,4531637.692,225,147
-11184857.67,4542876.654,225,167
-11167090.3,4545840.996,225,140
-11182094.84,4554959.649,225,87
-11203407.95,4557803.661,226,35
-11197200.89,4555844.188,226,47
-11173560.64,4549029.01,227,43
-11170118.31,4547879.567,227,34
-11189652.54,4547846.33,228,65
-11163570.27,4544032.443,229,49
-11187667.82,4541710.155,229,73
-11173226.35,4545929.144,229,146
-11185488.86,4573077.83,230,122
-11198719.85,4556365.278,230,68
-11167097.21,4549173.104,230,37
-11168605.59,4547891.116,230,36
-11158724.53,4538640.044,230,144
-11172566.22,4536747.624,230,111
-11190953.53,4540931.388,230,71
-11191710.5,4537597.974,230,69
-11195515.51,4541157.707,230,138
-11167472.24,4548023.223,230,67
-11175731.04,4543784.381,230,162
-11178639.37,4550050.249,230,98
-11192950.05,4545778.054,230,79
-11194742.51,4542938.874,230,69
-11197192.21,4556598.839,231,30
-11178650.95,4543915.028,231,65
-11157464.95,4538633.149,231,151
-11193734.51,4541671.447,231,145
-11203531.63,4556914.445,231,29
-11182701.42,4546963.738,231,80
-11174704.56,4549155.779,232,12
-11178768.28,4549152.258,232,55
-11171399.48,4547877.455,232,83
-11192955.61,4545009.966,232,77
-11157862.36,4558709.166,233,116
-11178641.15,4545946.323,233,67
-11161270.63,4538395.347,233,139
-11158356.96,4536722.159,233,136
-11164510.92,4532657.932,234,154
-11183463.29,4542498.692,234,160
-11194175.12,4576846.467,235,110
-11194565.85,4574159.184,235,143
-11175597.67,4542887.352,235,80
-11173951.37,4539180.96,235,88
-11176516.95,4531727.408,235,114
-11182827.99,4536297.011,235,126
-11161826.12,4531247.201,235,205
-11163563.93,4543002.925,235,124
-11202953.99,4545853.528,235,85
-11187763.89,4554508.248,235,67
-11187616.73,4551949.314,235,54
-11178786.87,4538652.568,236,68
-11192641.36,4554370.139,236,70
-11182810.29,4551202.467,236,53
-11167400.33,4531766.5,237,155
-11199455.44,4556853.409,237,90
-11193885.02,4545967.163,237,174
-11192839.73,4542826.68,237,65
-11190833.08,4537727.137,238,77
-11184470.73,4574088.446,240,111
-11196218.39,4574048.064,240,119
-11201504.28,4557918.272,240,29
-11160898.16,4544662.197,240,66
-11164576.15,4545062.625,240,48
-11166585.14,4543012.92,240,105
-11174592.01,4544804.401,240,100
-11160005.49,4535829.255,240,135
-11173587.13,4534692.379,240,122
-11173727.95,4531736.829,240,137
-11189694.84,4536815.576,240,79
-11182331.17,4531713.767,240,114
-11201359.68,4514046.896,240,160
-11196283.51,4512264.192,240,135
-11196285.07,4511498.564,240,145
-11193743.64,4508426.933,240,150
-11175597.01,4541864.282,240,121
-11193734.51,4541671.447,240,146.5
-11202369.57,4523741.278,240,171
-11167601.37,4543783.395,240,108
-11196850.57,4574700.115,240,164
-11181054.67,4532484.252,240,152
-11204399.92,4520174.274,240,170
-11195032.05,4519668.894,240,126
-11203336.6,4577190.371,241,137
-11190827.41,4541824.166,241,91
-11179528.48,4543788.322,242,75
-11178539.07,4539683.063,242,101
-11171147.34,4547360.17,242,118
-11177284.05,4529929.173,242,136
-11185624,4530678.998,243,106
-11163563.93,4543002.925,243,102
-11163563.93,4543002.925,243,97
-11167896.37,4551956.218,243,
-11196246.66,4546531.976,243,101
-11180027.08,4538388.734,244,190
-11160534.03,4547099.213,245,61.5
-11176634.5,4537765.408,245,160
-11181308.03,4533253.809,245,71
-11189406.63,4552752.154,245,121
-11201421.9,4575774.718,245,153
-11175857.94,4545951.673,245,131
-11188000.67,4573855.761,245,132
-11163576.84,4545057.838,245,96
-11196439.8,4552760.045,245,72
-11193850.4,4543849.141,245,86
-11182680.04,4552099.789,245,50
-11176613.8,4548258.429,246,49
-11159771.16,4558591.163,246,117
-11191554.1,4547200.187,246,50
-11156204.15,4546041.23,247,91
-11165316.21,4545066.426,247,47
-11158361.85,4535701.382,247,172
-11180786.83,4549934.315,247,70
-11166317.52,4545069.242,248,67
-11176515.5,4532754.828,248,104
-11190807.03,4569260.744,249,116
-11180791.95,4536839.212,249,92
-11192962.85,4543726.378,249,66
-11178940.38,4569481.047,250,116
-11179066.5,4569863.801,250,150
-11190053.07,4568999.096,250,115
-11199648.92,4573706.241,250,142
-11160526.91,4545817.058,250,32
-11169402.41,4532788.299,250,166
-11190829.07,4539783.824,250,85
-11180795.18,4539679.685,250,82
-11203026.69,4558431.289,250,52
-11181810.75,4541987.726,250,146
-11184104.15,4533744.937,250,150
-11203523.62,4555633.053,250,109
-11178639.37,4550050.249,250,113
-11187613.39,4547327.779,250,164
-11199643.57,4574730.756,250,168
-11176411.09,4566411.478,251,128
-11165324.67,4545836.208,252,56
-11178660.41,4536979.057,252,
-11200826.01,4542905.23,252,117
-11178591.95,4547097.946,252,158
-11180292.24,4527878.364,252,142
-11194866.74,4543970.075,252,76
-11166705.25,4543655.284,253,136
-11164582.5,4545830.998,254,67
-11172688.12,4539698.12,254,56
-11202374.8,4534228.493,254,172
-11166445.88,4543912.916,254,138
-11193464.9,4544751.039,254,172
-11204347.83,4576187.503,255,150
-11185626,4540685.089,255,159.5
-11195529.99,4538367.768,255,82
-11156607.91,4507465.593,255,120
-11166325.54,4545840.714,255,100
-11163566.71,4541211.754,255,131
-11183701.18,4552090.067,255,78
-11191812.69,4569783.777,256,132
-11163309,4543002.221,256,71
-11172673.65,4547877.032,256,63
-11181558.5,4540963.337,256,100
-11165818.81,4543269.973,256,130
-11200162.1,4572434.069,257,140
-11162804.39,4544028.782,258,47
-11190793.45,4553235.889,258,75
-11180791.51,4549161.695,258,63
-11188786.81,4568231.83,260,122
-11169493.58,4554293.194,260,120
-11168238.01,4543654.298,260,
-11193489.72,4540156.058,260,91
-11190957.65,4538632.446,260,146
-11194885.22,4540783.186,260,142
-11178537.51,4537881.065,260,120
-11187114.01,4547585.924,260,124
-11188118.45,4548604.204,260,149
-11185733.2,4547464.808,260,156
-11163938.52,4505912.792,260,133
-11196286.96,4521715.705,260,118
-11194779.02,4520182.842,260,102
-11196931.39,4519274.636,260,80
-11186678.19,4522232.563,260,110
-11195887.54,4542035.162,260,173
-11203933.49,4554583.926,260,80
-11184593.62,4547085.271,260,63
-11174976.96,4537130.02,261,54
-11193844.72,4544876.77,261,76
-11196408.85,4561811.152,262,120
-11169413.43,4530731.866,262,182
-11196795.91,4539382.614,262,111
-11178538.51,4534028.907,262,150
-11193837.71,4545899.996,262,76
-11179523.69,4549160.85,263,69
-11168554.6,4557978.468,264,145
-11174256.16,4526879.534,264,148
-11193446.75,4547311.724,264,61
-11179951.71,4570245.158,265,146
-11200919.07,4573723.043,265,155
-11175617.71,4535716.575,265,71
-11191843.53,4507019.748,265,162
-11169487.01,4548013.505,265,113
-11192977.21,4540664.4,265,147
-11195280.18,4518903.568,265,120
-11178786.64,4540965.308,265,184
-11201895.01,4554580.967,265,55
-11194593.79,4546662.657,265,93
-11193604.72,4542051.49,265,195
-11188892.34,4552205.32,265,97
-11201934.31,4574758.996,266,153
-11176761.96,4537635.963,266,79
-11193431.61,4549368.332,266,112
-11187614.39,4548862.663,266,163
-11159768.38,4553052.425,267,140
-11169533.77,4531627.287,267,187
-11196231.08,4547794.079,267,105
-11189543.89,4567469.56,268,214
-11188536.56,4567470.407,268,136
-11195026.38,4535519.493,268,157
-11184534.18,4571865.165,268,142
-11181301.13,4539163.088,268,148
-11188021.6,4568991.616,270,112
-11195870.51,4569836.844,270,150
-11189822.97,4537729.107,270,114
-11188675.15,4536557.416,270,121
-11195919.05,4534627.817,270,99
-11203380.46,4531907.403,270,120
-11191208.67,4536554.321,270,141
-11188756.53,4551048.624,270,119
-11192089.55,4534409.657,270,206
-11198321.66,4519152.724,270,80
-11197964.88,4553079.902,270,81
-11178414.17,4533644.937,270,182
-11183572.83,4550685.439,270,55
-11182829.99,4547859.85,270,78
-11176761.07,4536865.098,271,83
-11199883.58,4549981.505,272,131
-11192775.5,4552078.937,272,151
-11196951.31,4552203.348,272,160
-11180796.18,4547871.681,272,78
-11183111.85,4569611.876,273,157
-11182985.95,4569482.599,273,144
-11205231.03,4574279.482,273,141
-11172878.03,4560795.526,273,127
-11196874.5,4546909.239,273,120
-11197313.44,4537322.208,273,149
-11195828.88,4549996.578,274,67
-11187793.39,4533603.588,275,77
-11172683.11,4542761.363,275,149
-11186369.84,4546314.975,275,156
-11203472.97,4574264.374,276,154
-11169326.71,4556449.991,276,
-11167343.11,4545068.82,276,105
-11159283.8,4530481.308,277,152
-11190837.31,4507021.431,277,152
-11185759.14,4568224.916,277,150
-11202838.56,4543915.872,277,147
-11178459.81,4564372.655,278,144
-11186004.15,4569238.728,280,139
-11185787.75,4565437.02,280,140
-11186135.96,4538642.859,280,95
-11198332.34,4537578.277,280,127
-11201367.47,4536287.444,280,147
-11202877.96,4533193.474,280,150
-11202379.36,4528585.164,280,145
-11158128.75,4506188.433,280,62
-11180287.9,4534031.299,280,125
-11203065.54,4548037.166,280,146
-11197739.9,4549069.294,280,151
-11192971.98,4541677.5,280,73
-11203042.16,4553408.787,280,133
-11179659.5,4535694.77,280,93
-11181490.04,4565019.02,281,141
-11167353.69,4553987.11,282,160
-11186820.79,4562395.583,282,143
-11191161.03,4549643.009,282,146
-11178718.63,4563370.038,283,145
-11197956.42,4536282.943,283,95
-11189968.24,4518155.149,283,121
-11182828.1,4537604.025,284,59
-11199307.17,4567949.183,285,147
