00601|-66.836366,18.250344,-66.659293,18.111929
00602|-67.240437,18.417478,-67.126434,18.312691
00603|-67.16943,18.513195,-67.056404,18.385925
00604|-67.150142,18.510744,-67.122475,18.492808
00606|-67.051461,18.207916,-66.83676,18.110649
00610|-67.227532,18.323984,-67.037935,18.249114
00612|-66.770658,18.497983,-66.578047,18.315205
00616|-66.704363,18.44719,-66.626624,18.373065
00617|-66.593456,18.493577,-66.521122,18.389379
00622|-67.215297,18.044147,-67.102278,17.944813
00623|-67.209966,18.168338,-67.098496,18.020443
00624|-66.769754,18.135002,-66.671105,17.971371
00627|-66.901568,18.495801,-66.810598,18.342998
00631|-66.855745,18.209447,-66.810445,18.162928
00636|-67.087323,18.173962,-67.048829,18.142394
00637|-66.985147,18.148294,-66.884653,18.023247
00638|-66.597066,18.380883,-66.453353,18.155662
00641|-66.831243,18.331751,-66.595288,18.156481
00646|-66.317421,18.483403,-66.252504,18.383069
00647|-66.983652,18.007339,-66.907357,17.92437
00650|-66.663751,18.415326,-66.530529,18.279741
00652|-66.646493,18.472677,-66.579868,18.43569
00653|-66.923331,18.027692,-66.857277,17.936846
00656|-66.835429,18.138652,-66.741884,17.98031
00659|-66.838706,18.496382,-66.764548,18.320614
00660|-67.159733,18.160334,-67.077797,18.103953
00662|-67.103659,18.518707,-66.933541,18.392052
00664|-66.65455,18.300412,-66.531023,18.149659
00667|-67.115871,18.076204,-66.958748,17.935455
00669|-66.93994,18.368177,-66.817133,18.170357
00670|-67.082002,18.290028,-66.897964,18.187744
00674|-66.543785,18.489497,-66.43181,18.350255
00676|-67.135025,18.460954,-67.027173,18.306655
00677|-67.273073,18.378871,-67.181695,18.29431
00678|-66.968564,18.494621,-66.8989,18.364257
00680|-67.951798,18.262163,-67.017388,18.048418
00682|-67.198225,18.272646,-67.11377,18.152351
00683|-67.109044,18.174149,-66.970369,18.052409
00685|-67.052583,18.433326,-66.891918,18.253322
00687|-66.465142,18.378107,-66.365272,18.255846
00688|-66.678037,18.440167,-66.582278,18.324559
00690|-67.112482,18.513362,-67.082486,18.47256
00692|-66.378134,18.490309,-66.299597,18.330622
00693|-66.448994,18.498649,-66.341044,18.342481
00694|-66.399812,18.49869,-66.377073,18.471441
00698|-66.926517,18.171242,-66.779398,17.946005
00703|-66.190676,18.288474,-66.072908,18.19763
00704|-66.244572,17.988372,-66.185044,17.945592
00705|-66.320913,18.180381,-66.216397,18.070444
00707|-65.98912,18.061282,-65.848274,17.97751
00714|-66.095209,18.040472,-66.019728,17.952378
00715|-66.586938,18.036625,-66.530417,17.979841
00716|-66.638235,18.040433,-66.562832,17.945087
00717|-66.633607,18.012871,-66.595563,17.995865
00718|-65.831388,18.296545,-65.671808,18.17483
00719|-66.314074,18.334194,-66.20464,18.240967
00720|-66.517902,18.293976,-66.350278,18.16299
00721|-65.80305,18.421155,-65.753513,18.328216
00723|-66.089399,18.109878,-65.909272,17.967538
00725|-66.103241,18.31906,-65.997634,18.113069
00726|-66.069515,18.158351,-66.01961,18.113069
00727|-66.117916,18.272937,-66.040623,18.151509
00728|-66.705336,18.05562,-66.623991,17.945087
00729|-65.93134,18.413682,-65.836387,18.25273
00730|-66.64268,18.05324,-66.581768,18.008461
00731|-66.698249,18.160248,-66.568651,18.035164
00735|-65.766831,18.296755,-65.624342,18.196208
00736|-66.227059,18.171543,-66.060265,18.036917
00737|-66.168645,18.15655,-66.114464,18.132577
00738|-65.753591,18.405944,-65.515629,18.267574
00739|-66.243315,18.230373,-66.101673,18.133816
00740|-65.642475,18.340665,-65.626711,18.32657
00741|-65.774987,18.182341,-65.727647,18.14386
00744|-65.808297,18.239282,-65.775518,18.201902
00745|-65.878224,18.427815,-65.749607,18.27168
00751|-66.342607,18.095925,-66.166145,17.910817
00754|-66.052736,18.229431,-65.920545,18.075565
00757|-66.455471,18.042627,-66.331244,17.939025
00765|-65.508309,18.15923,-65.335215,18.092498
00766|-66.54722,18.204599,-66.418716,18.080915
00767|-66.010887,18.126145,-65.79147,18.007675
00769|-66.431557,18.174902,-66.265474,18.015455
00771|-65.928341,18.275246,-65.815653,18.117735
00772|-65.992833,18.465623,-65.82678,18.401062
00773|-65.770556,18.393005,-65.677735,18.288031
00775|-65.373738,18.36629,-65.224638,18.27352
00777|-65.951741,18.27013,-65.851729,18.142845
00778|-66.030747,18.311183,-65.918535,18.200384
00780|-66.612802,18.172479,-66.531955,18.022727
00782|-66.270994,18.277096,-66.173738,18.172858
00783|-66.383236,18.368163,-66.27781,18.238689
00784|-66.225359,18.107602,-66.053146,17.914575
00786|-66.23452,18.160747,-66.224064,18.150532
00791|-65.877615,18.206759,-65.754526,18.069306
00794|-66.373896,18.249704,-66.240357,18.147704
00795|-66.565363,18.153175,-66.423961,17.973896
00801|-64.98698,18.3576,-64.963741,18.33908
00802|-65.041974,18.383286,-64.814072,18.294212
00820|-64.77369,17.783649,-64.565193,17.706256
00823|-64.757435,17.76002,-64.73903,17.718338
00824|-64.68473,17.74571,-64.68051,17.7434
00830|-64.813407,18.372993,-64.660521,18.298189
00831|-64.7898,18.32905,-64.78257,18.32551
00840|-64.903808,17.771218,-64.808476,17.673931
00841|-64.895805,17.77858,-64.79561,17.680964
00850|-64.862058,17.783842,-64.717096,17.682359
00851|-64.82579,17.76705,-64.674751,17.699597
00901|-66.125052,18.471897,-66.083411,18.458801
00906|-66.095617,18.464855,-66.094368,18.464069
